Name	Region	Hemisphere
E15	FR	R
E1	FR	R
E9	FR	R
E16	FR	R
E10	FR	R
E3	FR	R
E2	FR	R
E11	FR	R
E4	FR	R
E124	FR	R
E123	FR	R
E122	FR	R
E5	FR	R
E118	FR	R
E117	FR	R
E116	FR	R
E6	CR	R
E112	CR	R
E111	CR	R
E110	CR	R
E106	CR	R
E105	CR	R
E104	CR	R
E103	CR	R
Cz	CR	R
E80	CR	R
E87	CR	R
E93	CR	R
E55	CR	R
E79	CR	R
E98	CR	R
E86	CR	R
E92	PR	R
E97	PR	R
E78	PR	R
E62	PR	R
E85	PR	R
E77	PR	R
E91	PR	R
E72	PR	R
E96	PR	R
E76	PR	R
E84	PR	R
E75	OR	R
E83	OR	R
E90	OR	R
E95	OR	R
E82	OR	R
E89	OR	R
E121	TR	R
E114	TR	R
E115	TR	R
E109	TR	R
E102	TR	R
E108	TR	R
E101	TR	R
E100	TR	R
E32	FL	L
E22	FL	L
E18	FL	L
E23	FL	L
E26	FL	L
E19	FL	L
E24	FL	L
E27	FL	L
E33	FL	L
E12	FL	L
E20	FL	L
E28	FL	L
E34	FL	L
E13	CL	L
E29	CL	L
E35	CL	L
E7	CL	L
E30	CL	L
E36	CL	L
E41	CL	L
E31	CL	L
E37	CL	L
E42	CL	L
E54	CL	L
E47	CL	L
E53	CL	L
E52	PL	L
E51	PL	L
E61	PL	L
E60	PL	L
E67	PL	L
E59	PL	L
E58	PL	L
E71	PL	L
E66	PL	L
E70	OL	L
E65	OL	L
E64	OL	L
E74	OL	L
E69	OL	L
E38	TL	L
E44	TL	L
E39	TL	L
E40	TL	L
E46	TL	L
E45	TL	L
E50	TL	L
E57	TL	L
